trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.5, 'e': 0.2959999999999994}",20,0,-93.7239054808716,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
89,False,"{'a': 0.5, 'e': 0.28799999999999937}",25,8,-4.829247744165994,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,13,2.503627324846308,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
91,False,"{'a': 0.5, 'e': 0.27199999999999935}",25,9,22.884784504888536,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.5, 'e': 0.26399999999999935}",20,12,16.146698817115748,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.25599999999999934}",20,13,13.56959243820616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.5, 'e': 0.24799999999999933}",25,16,4.628546317161994,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
95,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,13,2.4685998820504786,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.5, 'e': 0.23199999999999932}",30,16,-26.243650444505022,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.2239999999999993}",20,0,-48.8630713317301,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
98,False,"{'a': 0.5, 'e': 0.2159999999999993}",20,16,8.217625446459472,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.5, 'e': 0.2079999999999993}",25,11,26.81411071887915,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.1999999999999993}",25,11,2.7442875705302074,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.19199999999999928}",35,0,24.831302278697734,"{0: 31, 1: 2, 2: 2, 3: 0, 4: 0}",0
